id,college,program,subjects,maxComposite,seats,totalApplicants,r1,r2,r3,r1_UR,r1_OBC,r1_SC,r1_ST,r1_EWS,r1_PwBD,r3_UR,r3_OBC,r3_SC,r3_ST,r3_EWS,r3_PwBD
1,Acharya Narendra Dev College,B.Com (Hons.),,,,,741.7355,741.7355,,741.7355,591.5148,509.7383,307.3793,629.8035,364.8609,,,,269.3621,,
2,Acharya Narendra Dev College,B.Sc (Hons.) Biomedical Science,,,,,591.1423,591.1423,,591.1423,512.3534,438.5571,369.6124,493.366,112.4073,,,,,,
3,Acharya Narendra Dev College,B.Sc (Hons.) Botany,,,,,501.698,502.3099,502.9218,501.698,431.6434,356.8962,322.4662,423.7539,278.5611,502.9218,,,,403.6422,
4,Acharya Narendra Dev College,B.Sc (Hons.) Chemistry,,,,,349.4427,349.4427,,349.4427,292.6822,202.3418,56.1109,290.9368,,,,155.4991,,257.4853,
5,Acharya Narendra Dev College,B.Sc (Hons.) Computer Science,,,,,631.5658,631.5658,,631.5658,533.1901,454.7208,331.1577,548.8684,172.6171,,,,,582.849,205.4564
6,Acharya Narendra Dev College,B.Sc (Hons.) Electronics,,,,,332.8558,337.7233,342.5908,332.8558,256.6818,176.8209,45.6738,266.8689,,342.5908,,134.4522,,,
7,Acharya Narendra Dev College,B.Sc (Hons.) Mathematics,,,,,561.6967,561.6967,,561.6967,452.3274,361.0569,138.2599,471.8297,,,,,264.3844,,
8,Acharya Narendra Dev College,B.Sc (Hons.) Physics,,,,,357.4143,354.9533,352.4923,357.4143,291.1084,191.6543,120.8795,285.8641,,352.4923,309.1117,213.371,,,
9,Acharya Narendra Dev College,B.Sc (Hons.) Zoology,,,,,529.5215,526.5866,523.6517,529.5215,457.3832,394.4413,340.2113,443.5847,139.8129,523.6517,446.4991,,,,186.1264
10,Acharya Narendra Dev College,B.Sc (Prog.) Life Science,,,,,502.9224,501.0693,499.2163,502.9224,434.6789,352.6017,316.9926,418.0775,,499.2163,,,227.6565,,
11,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science with Chemistry,,,,,267.0248,307.947,348.8691,267.0248,206.6803,122.1998,88.253,204.7414,,348.8691,215.7516,93.5029,,93.52,
